pub_date,post_title,post_url,link_url,link_text
"22 Nov, 2019 by ",How to Manage Technical Debt and Keep the Codebase at “Low” Tech Debt Level?,https://testfort.com/blog/how-to-manage-technical-debt-and-keep-the-codebase-at-low-tech-debt-level,https://testfort.com/blog/tech-debt-how-to-balance-between-the-velocity-of-production-and-code-quality,the code quality 
"22 Nov, 2019 by ",How to Manage Technical Debt and Keep the Codebase at “Low” Tech Debt Level?,https://testfort.com/blog/how-to-manage-technical-debt-and-keep-the-codebase-at-low-tech-debt-level,https://qarea.com/blog/how-to-reduce-tech-debt-a-practical-experience-guide,manage technical debt
"22 Nov, 2019 by ",How to Manage Technical Debt and Keep the Codebase at “Low” Tech Debt Level?,https://testfort.com/blog/how-to-manage-technical-debt-and-keep-the-codebase-at-low-tech-debt-level,https://duecq.com/auth/signin,Code Quality
"22 Nov, 2019 by ",How to Manage Technical Debt and Keep the Codebase at “Low” Tech Debt Level?,https://testfort.com/blog/how-to-manage-technical-debt-and-keep-the-codebase-at-low-tech-debt-level,https://testfort.com/, keep your product quality under control
"31 Oct, 2019 by ",Tech Debt: How to Balance Between the Velocity of Production and Code Quality?,https://testfort.com/blog/tech-debt-how-to-balance-between-the-velocity-of-production-and-code-quality,https://qarea.com/blog/3-outside-the-box-ways-of-measuring-technical-debt,Technical debt
"31 Oct, 2019 by ",Tech Debt: How to Balance Between the Velocity of Production and Code Quality?,https://testfort.com/blog/tech-debt-how-to-balance-between-the-velocity-of-production-and-code-quality,https://qarea.com/blog/how-to-reduce-tech-debt-a-practical-experience-guide,avoid technical debt
"31 Oct, 2019 by ",Tech Debt: How to Balance Between the Velocity of Production and Code Quality?,https://testfort.com/blog/tech-debt-how-to-balance-between-the-velocity-of-production-and-code-quality,https://qarea.com/blog/using-microservices-architecture-to-break-your-vendor-lock-in,And with the right architecture
"05 Sep, 2019 by ",Why Do Companies Outsource and What Are the Benefits of It?,https://testfort.com/blog/why-do-companies-outsource-and-what-are-the-benefits-of-it,https://testfort.com/qa-outsourcing,Outsourcing
"05 Sep, 2019 by ",Why Do Companies Outsource and What Are the Benefits of It?,https://testfort.com/blog/why-do-companies-outsource-and-what-are-the-benefits-of-it,https://qarea.com/services/outsourcing-development,software development
"05 Sep, 2019 by ",Why Do Companies Outsource and What Are the Benefits of It?,https://testfort.com/blog/why-do-companies-outsource-and-what-are-the-benefits-of-it,https://testfort.com/blog/the-difference-between-onshore-and-offshore-software-outsourcing,benefit of outsourcing
"15 Aug, 2019 by ",Alpha Vs Beta Software Testing: What Is the Difference?,https://testfort.com/blog/alpha-vs-beta-software-testing-what-is-the-difference,https://testfort.com/qa-outsourcing,alpha and beta testing
"15 Aug, 2019 by ",Alpha Vs Beta Software Testing: What Is the Difference?,https://testfort.com/blog/alpha-vs-beta-software-testing-what-is-the-difference,https://testfort.com/manual-testing,what is
"15 Aug, 2019 by ",Alpha Vs Beta Software Testing: What Is the Difference?,https://testfort.com/blog/alpha-vs-beta-software-testing-what-is-the-difference,https://testfort.com/manual-testing,what comes after beta testing
"15 Aug, 2019 by ",Alpha Vs Beta Software Testing: What Is the Difference?,https://testfort.com/blog/alpha-vs-beta-software-testing-what-is-the-difference,https://testfort.com/qa-outsourcing,"alpha, beta, gamma testing"
"01 Nov, 2019 by ","Important Software Testing Documentation: SRS, FRS and BRS",https://testfort.com/blog/important-software-testing-documentation-srs-frs-and-brs,https://testfort.com/qa-documentation,documentation makes the overall development process easier
"01 Nov, 2019 by ","Important Software Testing Documentation: SRS, FRS and BRS",https://testfort.com/blog/important-software-testing-documentation-srs-frs-and-brs,https://testfort.com/qa-documentation,documentation makes the overall development process easier
"01 Nov, 2019 by ","Important Software Testing Documentation: SRS, FRS and BRS",https://testfort.com/blog/important-software-testing-documentation-srs-frs-and-brs,https://testfort.com/software-testing-services,software testing
"01 Nov, 2019 by ","Important Software Testing Documentation: SRS, FRS and BRS",https://testfort.com/blog/important-software-testing-documentation-srs-frs-and-brs,https://qarea.com/services/custom-software-development, qualified software developers
"14 Jun, 2019 by ",Five Software Testing Companies for Your Next Project,https://testfort.com/blog/five-software-testing-companies-for-your-next-project,https://testfort.com/software-testing-solutions,QA solutions
"14 Jun, 2019 by ",Five Software Testing Companies for Your Next Project,https://testfort.com/blog/five-software-testing-companies-for-your-next-project,https://testfort.com/,software testing companies
"14 Jun, 2019 by ",Five Software Testing Companies for Your Next Project,https://testfort.com/blog/five-software-testing-companies-for-your-next-project,https://qarea.com/,QArea
"14 Jun, 2019 by ",Five Software Testing Companies for Your Next Project,https://testfort.com/blog/five-software-testing-companies-for-your-next-project,https://duefocus.com/,DueFocus
"14 Jun, 2019 by ",Five Software Testing Companies for Your Next Project,https://testfort.com/blog/five-software-testing-companies-for-your-next-project,https://testfort.com/contact-us,ready to answer
"06 Jun, 2019 by ",How to Build a Perfect Workflow With Remote QA Teams – Step 1,https://testfort.com/blog/how-to-build-a-perfect-workflow-with-remote-qa-teams-step-1,https://qarea.com/hire-developers,a dream team of like-minded people
"24 Jul, 2019 by ",QArea X Speedinvest: A Presentation on Eliminating Technical Debt,https://testfort.com/blog/qarea-x-speedinvest-a-presentation-on-eliminating-technical-debt,https://events.speedinvest-pirates.com/20190806_qarea,form on the Speedinvest website
"22 Aug, 2019 by ",The Difference Between Onshore and Offshore Software Outsourcing,https://testfort.com/blog/the-difference-between-onshore-and-offshore-software-outsourcing,https://testfort.com/qa-outsourcing, outsourcing companies
"22 Aug, 2019 by ",The Difference Between Onshore and Offshore Software Outsourcing,https://testfort.com/blog/the-difference-between-onshore-and-offshore-software-outsourcing,https://qarea.com/?_ga=2.190427944.2071201389.1566488682-1794496005.1555661260, software development
"22 Aug, 2019 by ",The Difference Between Onshore and Offshore Software Outsourcing,https://testfort.com/blog/the-difference-between-onshore-and-offshore-software-outsourcing,https://testfort.com/blog/ukraine-powered-software-testing-outsourcing,outsourcing
"22 Aug, 2019 by ",The Difference Between Onshore and Offshore Software Outsourcing,https://testfort.com/blog/the-difference-between-onshore-and-offshore-software-outsourcing,https://testfort.com/blog/how-to-succeed-in-building-a-software-development-team-top-ideas-for-startups,best development team
"23 Oct, 2019 by ",Which Software Testing Methodology Is Right for Your Project?,https://testfort.com/blog/which-software-testing-methodology-is-right-for-your-project,https://testfort.com/manual-testing,testing
"23 Oct, 2019 by ",Which Software Testing Methodology Is Right for Your Project?,https://testfort.com/blog/which-software-testing-methodology-is-right-for-your-project,https://qarea.com/services/custom-software-development,software developments
"23 Oct, 2019 by ",Which Software Testing Methodology Is Right for Your Project?,https://testfort.com/blog/which-software-testing-methodology-is-right-for-your-project,https://testfort.com/blog/7-pillars-of-agile-testing-how-discipline-wins-over-passion,Agile methodologies
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/,software testing services
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/qa-outsourcing,QA company
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/qa-documentation,bug report
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/,software testing company
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/pricing-business-models,project-based cooperation
"11 Apr, 2019 by ",Salesforce’s Database Testing: Tools For Working With The SOSL/SOQL queries,https://testfort.com/blog/salesforces-database-testing-tools-for-working-with-the-sosl-soql-queries,https://testfort.com/manual-testing,Hire QA Experts
"18 Apr, 2019 by ",Signing a Contract with QA Company,https://testfort.com/blog/signing-a-contract-with-qa-company,https://testfort.com/qa-consulting,QA Consulting
"11 Apr, 2019 by ",Salesforce’s Database Testing: Tools For Working With The SOSL/SOQL queries,https://testfort.com/blog/salesforces-database-testing-tools-for-working-with-the-sosl-soql-queries,https://testfort.com/blog/salesforces-database-testing-tools-for-working-with-the-sosl-soql-queries,LET`S TALK!
"28 Mar, 2019 by ",What Should be in a Task While Collaborate with Remote QA Teams,https://testfort.com/blog/what-should-be-in-a-task-while-collaborate-with-remote-qa-teams,https://testfort.com/blog/7-steps-to-develop-good-test-strategy-document,QA strategy
"28 Mar, 2019 by ",What Should be in a Task While Collaborate with Remote QA Teams,https://testfort.com/blog/what-should-be-in-a-task-while-collaborate-with-remote-qa-teams,https://testfort.com/blog/test-strategy-vs-test-plan,testing strategy
"28 Mar, 2019 by ",What Should be in a Task While Collaborate with Remote QA Teams,https://testfort.com/blog/what-should-be-in-a-task-while-collaborate-with-remote-qa-teams,https://testfort.com/blog/cross-platform-testing-strategy-manual-automated-testing-approaches,QA strategy
"01 Mar, 2019 by ",How to Test Banking Applications: Tips & Tricks,https://testfort.com/blog/how-to-test-banking-applications-tips-tricks,https://en.wikipedia.org/wiki/Traceability_matrix,The traceability matrix method
"01 Mar, 2019 by ",How to Test Banking Applications: Tips & Tricks,https://testfort.com/blog/how-to-test-banking-applications-tips-tricks,https://testfort.com/load-testing,Load
"01 Mar, 2019 by ",How to Test Banking Applications: Tips & Tricks,https://testfort.com/blog/how-to-test-banking-applications-tips-tricks,https://testfort.com/performance-testing,performance
"01 Mar, 2019 by ",How to Test Banking Applications: Tips & Tricks,https://testfort.com/blog/how-to-test-banking-applications-tips-tricks,https://testfort.com/software-testing-solutions,skilled QAs with practical experience
"15 Feb, 2019 by ",Business Logic in QA and its Role in the Development of Perfect Software,https://testfort.com/blog/business-logic-in-qa-and-its-role-in-the-development-of-perfect-software,https://testfort.com/software-testing-services,Quality assurance 
"15 Feb, 2019 by ",Business Logic in QA and its Role in the Development of Perfect Software,https://testfort.com/blog/business-logic-in-qa-and-its-role-in-the-development-of-perfect-software,https://testfort.com/automated-testing,Automated testing 
"15 Feb, 2019 by ",Business Logic in QA and its Role in the Development of Perfect Software,https://testfort.com/blog/business-logic-in-qa-and-its-role-in-the-development-of-perfect-software,https://testfort.com/company,TestFort
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://en.wikipedia.org/wiki/Vulnerability_assessment, vulnerability testing
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://en.wikipedia.org/wiki/Penetration_test, penetration test
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://testfort.com/blog/banking-software-testing-touch-and-go-cases, find out more about eliminating the risk of data breaches
"31 Jan, 2019 by ",Why I Use Exploratory Testing While Checking Software. A Tester Confession,https://testfort.com/blog/why-i-use-exploratory-testing-while-checking-software-a-tester-confession,https://testfort.com/,QA company
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://en.wikipedia.org/wiki/A/B_testing, A/B testing
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://en.wikipedia.org/wiki/General_Data_Protection_Regulation, GDPR
"31 Jan, 2019 by ",Why I Use Exploratory Testing While Checking Software. A Tester Confession,https://testfort.com/blog/why-i-use-exploratory-testing-while-checking-software-a-tester-confession,https://testfort.com/blog/exploratory-testing-a-useful-strategy-to-improve-software-quality,exploratory testing
"07 Feb, 2019 by ",How to Ensure Your Mobile Banking App Is Tested Thoroughly,https://testfort.com/blog/how-to-ensure-your-mobile-banking-app-is-tested-thoroughly,https://www.iso.org/news/Ref2175.html, ISO 12812
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://testfort.com/software-testing-services,professional QA services 
"31 Jan, 2019 by ",Why I Use Exploratory Testing While Checking Software. A Tester Confession,https://testfort.com/blog/why-i-use-exploratory-testing-while-checking-software-a-tester-confession,https://www.amazon.com/Exploratory-Software-Testing-Tricks-Techniques/dp/0321636414,book
"31 Jan, 2019 by ",Why I Use Exploratory Testing While Checking Software. A Tester Confession,https://testfort.com/blog/why-i-use-exploratory-testing-while-checking-software-a-tester-confession,https://testfort.com/client-success,For our clients
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://testfort.com/,software testing companies
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://www.deviqa.com/,DeviQA
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://www.qualitylogic.com/,QualityLogic
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://testfort.com/,TestFort
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://qarea.com/,QArea
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://duefocus.com/,DueFocus
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://www.a1qa.com/,A1QA
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,http://qatestlab.com/,QATestLab
"24 Jan, 2019 by ",Top Software Testing Companies That Make Your Software Perfect,https://testfort.com/blog/top-software-testing-companies-that-make-your-software-perfect,https://testfort.com/contact-us,ready to answer
