mark,model,year,region,total,arithmeticMean,interQuartileMean,percentiles,prices,classifieds
Toyota,RAV4,2010,Kiev,8,15149.875,15049.75,"{'1.0': 14521, '5.0': 14605, '25.0': 14875, '50.0': 14999.5, '75.0': 15425, '95.0': 15865, '99.0': 15893}","[14800, 14900, 15900, 14999, 15000, 15300, 15800, 14500]","[25356327, 25255495, 25248943, 25354792, 23678157, 23895968, 25005627, 24558476]"
Toyota,RAV4,2011,Kiev,6,15472.1666666667,15500.0,"{'1.0': 15016.65, '5.0': 15083.25, '25.0': 15374.75, '50.0': 15500, '75.0': 15575, '95.0': 15825, '99.0': 15885}","[15500, 15500, 15900, 15600, 15000, 15333]","[25224649, 20206670, 25411505, 25225899, 24921056, 24988287]"
Toyota,RAV4,2012,Kiev,10,15770.0,15675.0,"{'1.0': 10633, '5.0': 11965, '25.0': 14525, '50.0': 15500, '75.0': 17250, '95.0': 19604.999999999996, '99.0': 20721}","[17900, 15500, 10300, 17500, 14300, 15200, 16500, 15500, 21000, 14000]","[25283663, 25309750, 25229725, 25054869, 25267918, 25208528, 24888407, 25384319, 19151983, 24540090]"
Toyota,RAV4,2013,Kiev,16,21049.8125,21262.25,"{'1.0': 16045, '5.0': 17425, '25.0': 19800, '50.0': 21400, '75.0': 22550, '95.0': 24049.75, '99.0': 24409.149999999998}","[19500, 20900, 22200, 22700, 20199, 24499, 19500, 21900, 22500, 22900, 18000, 15700, 22199, 19900, 20300, 23900]","[24649526, 24594811, 24501830, 24034201, 24247715, 25409784, 24964973, 25431778, 25316385, 25299450, 24032768, 24834626, 25230951, 24988328, 25157473, 23897999]"
Toyota,RAV4,2014,Kiev,13,19193.9230769231,19231.5714285714,"{'1.0': 14600, '5.0': 14600, '25.0': 15600, '50.0': 19300, '75.0': 22222, '95.0': 23960, '99.0': 24152}","[24200, 18000, 18700, 22400, 14600, 15600, 14600, 22222, 20900, 19899, 15300, 23800, 19300]","[24314039, 24986521, 22179845, 25329755, 25315919, 25370190, 24892115, 25155483, 25304017, 23942869, 25248857, 25375188, 25419952]"
Toyota,RAV4,2015,Kiev,15,18646.6,18714.2857142857,"{'1.0': 13265.14, '5.0': 14329.7, '25.0': 16000, '50.0': 18800, '75.0': 21550, '95.0': 22869.999999999996, '99.0': 24494}","[17000, 18500, 19500, 17000, 22000, 22000, 12999, 24900, 15000, 21200, 14900, 21900, 18800, 15000, 19000]","[23976942, 25393172, 25343610, 25170180, 20735977, 25346113, 25429600, 25015835, 24641889, 25401497, 25251122, 24470567, 24967869, 25208864, 25262510]"
Ford,Kuga,2010,Kiev,7,13285.7142857143,13375.0,"{'1.0': 12230, '5.0': 12350, '25.0': 12950, '50.0': 13300, '75.0': 13500, '95.0': 14269.999999999998, '99.0': 14534}","[13300, 13500, 13500, 14600, 12200, 12700, 13200]","[25335635, 25335036, 23208150, 24908731, 24088775, 25217323, 25179669]"
Ford,Kuga,2011,Kiev,11,14105.3490909091,13680.0,"{'1.0': 11832.956, '5.0': 12129.42, '25.0': 12750, '50.0': 13600, '75.0': 15500, '95.0': 16750, '99.0': 17110}","[13400, 14700, 11758.84, 17200, 16300, 12500, 12800, 16300, 12700, 13900, 13600]","[24277720, 25330552, 25248151, 25429947, 25428843, 25419796, 25429871, 25313325, 25210824, 25330326, 25431807]"
Ford,Kuga,2012,Kiev,15,14524.0666666667,14332.625,"{'1.0': 12856, '5.0': 13080, '25.0': 13800, '50.0': 14600, '75.0': 15100, '95.0': 16530, '99.0': 16586}","[16500, 13900, 15400, 13200, 14661, 13500, 14900, 15000, 14000, 16600, 15200, 13800, 13800, 14600, 12800]","[24233235, 25390694, 25187438, 25181045, 23480653, 25265532, 24989961, 25286372, 25249214, 25398431, 25276323, 25315121, 15922176, 24211080, 25273403]"
Ford,Kuga,2013,Kiev,9,16177.7777777778,16460.0,"{'1.0': 13132, '5.0': 13260, '25.0': 15800, '50.0': 16500, '75.0': 16900, '95.0': 18440, '99.0': 18728}","[16500, 17900, 18800, 13100, 16900, 16400, 15800, 13500, 16700]","[25398163, 25206134, 25073186, 25343469, 25340499, 25311833, 24208548, 25379734, 25418588]"
Ford,Kuga,2014,Kiev,3,16583.3333333333,17000.0,"{'1.0': 11120, '5.0': 11600, '25.0': 14000, '50.0': 17000, '75.0': 19375, '95.0': 21274.999999999996, '99.0': 21655}","[17000, 21750, 11000]","[21217677, 20248965, 25258884]"
Ford,Kuga,2015,Kiev,3,20099.6666666667,19800.0,"{'1.0': 18526, '5.0': 18630, '25.0': 19150, '50.0': 19800, '75.0': 20899.5, '95.0': 21779.1, '99.0': 21955.02}","[18500, 19800, 21999]","[24057523, 25436125, 23690737]"
Nissan,Qashqai,2010,Kiev,5,11880.0,12066.6666666667,"{'1.0': 8252, '5.0': 8460, '25.0': 9500, '50.0': 13200, '75.0': 13500, '95.0': 14700, '99.0': 14940}","[15000, 8200, 13200, 13500, 9500]","[25334580, 25420649, 25407473, 25379399, 25418081]"
Nissan,Qashqai,2011,Kiev,10,13089.9,13174.75,"{'1.0': 10881, '5.0': 11205, '25.0': 12475, '50.0': 13099.5, '75.0': 13950, '95.0': 14665, '99.0': 14773}","[14800, 14500, 13800, 12400, 10800, 11700, 12999, 12700, 14000, 13200]","[23372404, 25414467, 25388372, 25422757, 25348714, 25392729, 25340255, 25205794, 25384317, 25232069]"
Nissan,Qashqai,2012,Kiev,7,14121.6971428571,14213.22,"{'1.0': 13500, '5.0': 13500, '25.0': 13676.439999999999, '50.0': 14000, '75.0': 14500, '95.0': 14849.3, '99.0': 14969.06}","[14500, 13852.88, 13500, 13500, 14000, 14999, 14500]","[25392888, 23153465, 24803455, 25222924, 17708071, 25246475, 25380224]"
Nissan,Qashqai,2013,Kiev,4,13874.75,14050.0,"{'1.0': 13026.029999999999, '5.0': 13134.15, '25.0': 13674.75, '50.0': 14050, '75.0': 14250, '95.0': 14370, '99.0': 14394}","[12999, 14400, 13900, 14200]","[25332236, 25365500, 25383396, 25150426]"
Nissan,Qashqai,2014,Kiev,8,17637.375,17599.75,"{'1.0': 15311.999999999998, '5.0': 15760, '25.0': 16949.25, '50.0': 17450, '75.0': 18550, '95.0': 19545, '99.0': 19908.999999999996}","[20000, 18500, 18700, 17200, 17700, 16999, 15200, 16800]","[25257801, 24814299, 25267704, 25083057, 24883666, 25026758, 24784512, 24146300]"
Nissan,Qashqai,2015,Kiev,7,18542.7142857143,18974.75,"{'1.0': 14644, '5.0': 15220, '25.0': 17449.5, '50.0': 18900, '75.0': 19500, '95.0': 21599.999999999996, '99.0': 22320}","[19500, 16900, 18900, 17999, 22500, 19500, 14500]","[25386387, 25226725, 24859517, 24873139, 25388280, 24254733, 25374682]"
Nissan,X-Trail,2010,Kiev,3,14799.6666666667,13900.0,"{'1.0': 13508, '5.0': 13540, '25.0': 13700, '50.0': 13900, '75.0': 15449.5, '95.0': 16689.1, '99.0': 16937.02}","[16999, 13900, 13500]","[24901416, 24358589, 25410643]"
Nissan,X-Trail,2011,Kiev,6,15666.6666666667,15600.0,"{'1.0': 13925, '5.0': 14025, '25.0': 14600, '50.0': 15600, '75.0': 16375, '95.0': 17625, '99.0': 17925}","[18000, 16000, 14400, 13900, 16500, 15200]","[25162468, 20514490, 25328390, 25323575, 24831074, 25417219]"
Nissan,X-Trail,2012,Kiev,5,15432.9922,15825.0,"{'1.0': 13870.36256, '5.0': 13891.9688, '25.0': 14000, '50.0': 14300, '75.0': 17500, '95.0': 17500, '99.0': 17500}","[17500, 17500, 14300, 13864.961, 14000]","[23438821, 25429066, 25045515, 25314766, 25356347]"
Nissan,X-Trail,2013,Kiev,3,15550.0,14850.0,"{'1.0': 13331, '5.0': 13455, '25.0': 14075, '50.0': 14850, '75.0': 16675, '95.0': 18135, '99.0': 18427}","[13300, 18500, 14850]","[25426687, 25288045, 25315016]"
Nissan,X-Trail,2014,Kiev,7,19157.1428571429,19533.3333333333,"{'1.0': 16638, '5.0': 17190, '25.0': 19050, '50.0': 19500, '75.0': 19850, '95.0': 20180, '99.0': 20276}","[18800, 20300, 19500, 19300, 19900, 19800, 16500]","[24247861, 24905271, 25309305, 24822004, 25348429, 25187584, 25424656]"
Nissan,X-Trail,2015,Kiev,4,19350.0,18400.0,"{'1.0': 16239, '5.0': 16395, '25.0': 17175, '50.0': 18400, '75.0': 20575, '95.0': 23635, '99.0': 24246.999999999996}","[17500, 24400, 19300, 16200]","[23908548, 24150265, 25411014, 25283041]"
Mitsubishi,ASX,2010,Kiev,0,NULL,NULL,"{'1.0': 'NaN', '5.0': 'NaN', '25.0': 'NaN', '50.0': 'NaN', '75.0': 'NaN', '95.0': 'NaN', '99.0': 'NaN'}",[],[]
Mitsubishi,ASX,2011,Kiev,4,11922.5,12195.0,"{'1.0': 10059.7, '5.0': 10298.5, '25.0': 11492.5, '50.0': 12195, '75.0': 12625, '95.0': 13164.999999999998, '99.0': 13273}","[10000, 12400, 13300, 11990]","[24575756, 25325832, 24729594, 25375537]"
